"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0002&endsec=vg&linechart=ELEC.PRICE.NY-ALL.M~ELEC.PRICE.NY-RES.M~ELEC.PRICE.NY-COM.M~ELEC.PRICE.NY-IND.M~ELEC.PRICE.NY-TRA.M&columnchart=ELEC.PRICE.NY-ALL.M&map=ELEC.PRICE.NY-ALL.M&freq=M&start=200101&end=201706&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Mon Sep 25 2017 13:10:13 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.PRICE.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middle Atlantic",,"ELEC.PRICE.MAT-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York","cents per kilowatthour","ELEC.PRICE.NY-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York : all sectors","cents per kilowatthour","ELEC.PRICE.NY-ALL.M",11.53,11.17,11.01,10.70,10.97,11.46,13.26,12.69,12.02,11.83,10.61,10.87,10.67,10.33,10.53,10.45,10.69,11.52,12.29,12.16,11.77,11.49,10.54,10.84,11.05,11.53,12.15,12.51,12.34,12.81,13.48,13.42,13.30,12.87,11.90,11.67,11.62,11.93,11.78,11.63,11.95,12.85,13.70,13.67,13.49,12.93,12.35,12.34,12.42,12.38,12.50,12.56,13.08,13.96,14.58,15.21,15.31,15.37,14.72,14.53,14.75,14.91,14.11,14.42,14.62,15.67,16.33,16.66,16.30,15.62,14.65,14.43,14.33,14.44,14.71,14.73,15.22,15.92,15.98,16.33,15.51,15.26,14.71,15.08,15.24,15.22,15.02,15.81,16.34,17.98,18.92,18.81,17.60,15.83,15.01,14.76,15.38,14.99,14.39,14.10,14.78,15.89,16.48,16.43,16.44,15.77,14.67,15.44,15.54,15.76,15.29,15.86,16.48,17.33,18.24,17.25,16.64,16.14,15.90,15.69,15.49,15.37,15.09,15.10,15.65,16.79,17.20,17.11,16.64,15.79,14.92,14.72,14.64,14.34,14.35,14.39,14.69,15.89,16.43,15.77,16.05,15.21,14.46,14.72,15.02,15.88,15.07,14.24,14.71,16.03,16.94,16.24,16.30,15.17,14.15,14.74,16.57,17.81,17.08,15.29,15.47,16.51,16.89,16.27,16.38,15.59,15.34,15.38,15.36,16.07,15.91,14.39,14.72,15.45,15.91,15.76,15.79,15.08,14.19,14.09,13.59,13.76,13.76,13.85,13.80,15.00,15.42,15.55,15.69,14.88,14.18,13.97,14.22,13.81,14.20,13.81,14.65,15.70
"New York : residential","cents per kilowatthour","ELEC.PRICE.NY-RES.M",13.89,13.93,13.58,13.44,14.01,14.41,14.99,14.61,14.23,14.22,13.53,13.25,12.95,13.00,12.81,12.69,13.30,14.01,14.19,14.16,14.42,13.87,13.37,13.19,12.77,13.30,13.91,14.55,14.77,14.98,15.14,14.94,14.92,14.75,14.23,13.63,13.32,14.02,13.98,14.03,14.20,14.99,15.36,15.32,15.10,14.93,14.88,14.29,14.05,14.53,14.40,14.64,15.36,15.58,15.63,16.16,16.69,17.36,17.57,16.53,16.61,16.66,15.89,16.36,16.56,17.33,17.56,17.74,17.92,17.22,16.33,15.88,16.09,15.89,16.83,17.14,17.50,18.17,17.27,17.96,17.15,17.48,16.94,16.66,16.87,17.32,16.93,18.05,18.74,19.41,19.75,20.93,19.50,17.58,16.97,16.63,16.86,16.75,16.39,16.50,16.87,18.21,18.65,18.19,18.78,18.17,16.82,17.51,17.30,18.05,17.55,18.92,19.21,19.41,20.11,19.35,20.09,18.36,18.25,17.72,17.25,17.45,17.58,17.63,18.30,19.07,19.22,19.25,18.84,18.78,17.93,17.26,16.79,16.51,16.64,16.71,17.33,18.31,18.38,18.12,18.52,18.44,17.44,17.47,17.93,19.10,18.16,17.67,18.35,19.32,20.03,19.14,19.56,18.88,18.49,18.18,19.57,21.69,20.90,19.54,20.59,20.88,20.48,19.51,19.41,19.43,19.45,19.26,19.28,19.75,18.92,17.72,18.06,18.76,18.71,18.38,18.38,18.30,18.23,17.50,16.54,16.76,16.89,17.39,17.73,17.89,17.94,18.00,18.38,18.27,17.75,17.18,17.30,17.48,17.02,17.31,18.50,18.77
"New York : commercial","cents per kilowatthour","ELEC.PRICE.NY-COM.M",12.70,12.31,12.09,11.49,11.88,12.72,14.55,14.74,13.95,13.74,11.66,11.79,11.45,11.18,11.53,11.66,11.77,12.72,13.89,13.58,13.07,12.92,11.55,11.83,11.01,11.69,12.43,12.97,12.82,13.44,14.27,14.25,14.10,13.60,12.24,11.88,11.97,12.07,12.11,11.71,12.17,13.30,14.46,14.45,14.27,13.51,12.61,12.59,12.71,12.42,12.66,12.91,13.53,14.79,15.37,15.79,15.90,15.72,14.81,14.83,14.53,14.94,14.26,14.45,14.80,16.10,16.76,17.27,16.60,15.98,14.95,14.71,14.46,15.56,14.68,15.08,16.05,16.64,16.95,17.20,16.80,15.83,15.48,15.73,15.48,15.13,15.08,16.02,16.59,18.75,19.87,18.89,18.05,16.28,15.37,14.83,15.67,15.12,14.33,14.01,14.76,16.05,16.46,16.41,16.48,15.84,14.62,15.40,15.50,15.54,15.17,15.57,16.39,17.56,18.32,17.13,15.97,16.22,15.91,15.63,15.40,15.18,14.80,15.09,15.58,17.01,17.26,17.05,16.73,15.71,14.61,14.43,14.44,14.25,14.30,14.53,14.61,15.93,16.46,15.31,16.22,15.14,14.25,14.48,14.83,15.70,14.88,14.12,14.54,16.05,16.75,16.38,16.62,15.36,13.76,14.45,16.40,17.48,16.84,14.91,15.05,16.40,16.78,16.37,16.82,15.84,15.29,14.89,14.68,15.73,15.81,14.46,14.51,16.29,16.20,15.96,16.13,15.33,14.04,13.91,13.43,13.59,13.58,13.79,13.59,15.12,15.68,15.57,15.79,14.89,14.00,13.75,13.87,13.42,14.21,13.78,14.54,15.96
"New York : industrial","cents per kilowatthour","ELEC.PRICE.NY-IND.M",5.50,5.72,5.36,5.59,5.45,5.48,6.55,6.03,5.39,5.30,5.18,5.38,5.47,4.81,5.16,5.06,5.17,5.58,5.34,5.23,5.13,5.34,4.92,4.94,7.24,7.46,7.60,7.59,7.02,7.03,7.05,7.03,7.20,7.09,6.65,6.69,6.64,6.98,6.34,7.01,7.03,7.33,7.34,7.28,7.30,7.26,6.86,7.13,7.03,7.01,7.41,7.24,7.25,7.52,8.54,9.95,9.65,9.67,8.66,8.55,9.76,9.43,8.49,9.18,9.12,9.14,9.83,9.88,10.02,9.54,9.05,9.27,9.62,7.16,9.44,8.91,8.33,8.65,9.18,9.39,7.38,8.97,8.21,9.44,8.94,9.38,8.69,9.15,9.56,9.81,10.81,10.58,9.95,9.37,8.26,7.99,7.95,8.02,7.57,7.40,8.25,8.23,9.10,9.32,9.05,8.46,8.51,8.44,8.84,8.79,8.20,8.53,8.95,9.22,9.51,9.12,8.66,8.71,8.30,8.48,8.97,8.67,7.89,7.55,7.65,7.87,8.09,8.36,7.37,7.40,6.94,7.24,7.07,6.75,6.84,6.68,6.71,7.12,7.27,7.38,6.24,6.09,6.18,6.16,7.26,7.72,7.27,6.83,6.64,7.08,7.01,6.04,5.82,5.95,5.49,5.97,7.64,8.19,6.84,6.21,5.93,6.33,6.47,6.42,6.47,6.09,6.24,6.17,6.24,6.85,7.51,6.31,5.76,6.01,6.25,6.33,6.53,6.30,5.87,5.72,5.51,6.11,5.99,5.96,5.75,6.73,5.56,6.28,6.18,5.99,6.62,5.82,5.92,4.98,5.89,5.90,6.23,6.16
"New York : transportation","cents per kilowatthour","ELEC.PRICE.NY-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",8.82,9.03,9.32,9.45,9.27,9.69,10.04,9.81,9.87,9.49,9.01,8.77,7.45,7.34,7.51,7.60,7.46,7.94,8.15,8.46,8.30,8.57,7.93,8.07,10.25,10.81,10.49,10.85,10.77,11.38,12.21,11.95,12.30,13.87,10.20,11.50,11.72,11.13,11.71,11.67,11.91,12.69,12.69,12.33,12.54,12.27,10.98,11.51,9.45,10.29,13.45,10.73,11.82,11.73,12.27,11.16,11.25,10.60,9.12,9.77,10.84,12.36,12.43,11.90,12.80,15.40,14.08,14.45,13.09,10.82,11.66,11.98,12.49,12.78,12.95,12.69,13.25,14.03,13.44,13.56,13.86,12.87,12.98,12.87,13.06,13.07,13.05,13.63,13.95,14.62,14.01,14.67,13.63,14.03,14.20,13.17,13.08,13.29,13.07,12.36,14.30,14.38,14.70,13.97,14.52,12.76,12.76,12.44,13.40,13.23,13.66,13.91,14.13,14.61,15.03,14.71,14.96,14.07,14.68,14.12,14.37,13.86,13.07,13.16,13.67,14.11,14.39,14.06,14.04,13.33,13.12,12.62,14.39,13.43,13.91,13.58,13.24,14.23,14.32,14.20,15.04,13.48,12.55,13.59,13.72,13.14,12.68,12.35,12.20,13.64,13.38,13.40,13.38,12.73,12.14,12.58,12.11,11.71,11.59,11.80,11.47,12.54,12.55,13.02,12.78,11.84,11.23,11.95,11.90,11.92,12.14,11.92,12.85,13.77
"New York : other","cents per kilowatthour","ELEC.PRICE.NY-OTH.M",8.44,8.57,8.70,8.72,8.99,9.01,9.00,8.85,8.60,9.03,8.71,8.73,8.08,8.38,8.33,8.39,8.81,9.08,9.07,9.24,9.22,8.84,8.33,8.31,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
